SMILES,Activity binary
Cc1ccc(C(=O)CC(=O)C(F)(F)F)cc1,1
COc1cc2c(cc1OC)CC(=O)N=CC2,0
CCCCCCCC(Br)CCCCCC,1
Nc1ccc(S(=O)(=O)O)cc1N,0
C=CC(=O)NCCO,0
O=C1OC(c2ccc(O)cc2)(c2ccc(O)cc2)c2ccccc21,0
CCC(CO)(CO)CO,0
N#CC(=O)c1cccc(Cl)c1Cl,1
CC(=O)C(=NNc1ccccc1OCCOc1ccccc1NN=C(C(C)=O)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1)C(=O)Nc1ccc2[nH]c(=O)[nH]c2c1,0
O=Cc1cc(O)ccc1C=C(CC(=O)O)C(=O)O,1
CCN(CC)c1ccc(C=C(C#N)C(=O)OCCC[N+](C)(C)CCOC(=O)C(C#N)=Cc2ccc(N(CC)CC)cc2)cc1,0
O=C(O)CCl,0
CCN(CC)CCCN=c1[nH]c(=NCCCN(CC)CC)[nH]c(=Nc2ccc3c(O)c(N=Nc4ccc5[nH]c(=O)[nH]c5c4)c(S(=O)(=O)O)cc3c2)[nH]1,0
O=C1NS(=O)(=O)c2ccccc21,0
O=c1[nH]c(=O)c2ccc3c4ccc5c(=O)[nH]c(=O)c6ccc(c7ccc1c2c73)c4c65,0
CC(C)COC(=O)C(C)Cl,1
CCCCOC(=O)c1ccccc1C(=O)OCCCC,0
CC(C)(C)c1[nH]n(-c2cc(C(=O)O)cc(C(=O)O)c2)c(=N)c1N=Nc1nnc(SCCSc2nnc(N=Nc3c(C(C)(C)C)[nH]n(-c4cc(C(=O)O)cc(C(=O)O)c4)c3=N)s2)s1,0
OCC1COCO1,0
CCC(=O)Nc1cccc(Nc2cc(S(=O)(=O)O)c(N)c3c2C(=O)c2ccccc2C3=O)c1,0
Oc1cccc2ccccc12,1
O=c1ccc2ccccc2o1,0
CC(=O)CC(=O)Nc1ccc(-c2ccc(NC(=O)CC(C)=O)c(C)c2)cc1C,0
CC(C)(C)OC(=O)CC1CC(CC#N)OC2(CCCC2)O1,0
C=CCc1ccc(OC(C)=O)c(OC)c1,0
CC=Cc1ccc(OC(C)=O)c(OC)c1,0
C=COCCCCCCCCCCCCCCCCCC,1
C=CC(=O)OCC(CC)(COCC(CC)(COC(=O)C=C)COC(=O)C=C)COC(=O)C=C,0
CC1CCOC(c2ccccc2)C1,0
COc1c(Cl)ccc(B(O)O)c1F,0
